	value	TF
APC	1.50190989046829	0
TMEM179B	0.657408919088781	0
ABCE1	0.586374199293296	0
UQCRC2	0.549350426081887	0
XPNPEP1	0.436404312975449	0
XPNPEP2	4.60065351207131	0
XPNPEP3	0.365396857789739	0
GGCX	0.749519251231219	0
PAPLN	1.7955000950451	0
RETSAT	1.03987039918981	0
PM20D2	0.838319989536712	0
ZNF57	0.772094481980603	1
ELOA	0.347010200364674	0
KHDRBS1	0.558815992419146	0
KHDRBS3	0.995725806650809	0
KHDRBS2	1.82474760694228	0
OTUD7A	0.891369271680302	0
REG1A	4.31896917920781	0
LHCGR	2.68601194866223	0
OR1Q1	2.85577564980956	0
DGKZ	0.599768188450531	0
FLT3	4.66404984620847	0
VPS37B	0.64948778955793	0
C11orf1	0.597034105658704	0
DPYSL5	2.90845860064166	0
DPYSL2	1.30006566306904	0
DPYSL3	2.03725689818824	0
OR4D9	3.84592992067361	0
CSN3	3.57733107286907	0
ACHE	1.29953514367717	0
KRTAP10-12	3.26021380937512	0
KRTAP10-11	3.43397488415452	0
KRTAP10-10	2.57517975459103	0
IGFBP2	1.09264032486741	0
IGFBP3	2.79625136704092	0
IGFBP1	6.60209785866632	0
IGFBP6	1.72999444510661	0
IGFBP7	1.90496240831382	0
IGFBP4	1.39571263735847	0
IGFBP5	1.84986521574906	0
SKP2	1.24145916086571	0
P2RX4	0.891463022584348	0
CYP2R1	0.74743514206158	0
CKLF	0.421372812798227	0
DAW1	2.745199313676	0
GJA1	1.64347074959298	0
GJA3	2.42609822147513	0
APLNR	2.95817629411156	0
GJA8	4.3812730058573	0
GJA9	0.612397854796666	0
CD99	0.911766205111103	0
STMN1	1.21631361142911	0
SPANXN1	3.36228628552294	0
AK7	1.0750095360425	0
KDM3B	0.478039383335837	0
ZNF117	0.936236505339621	1
ZNF114	3.43861168460238	1
KDM3A	0.930548789039987	0
ZNF112	0.723430091267215	1
SEZ6L	2.9064945865309	0
NIF3L1	0.455099610241611	0
TMC4	1.89548257917437	0
MYO3A	2.62232126563659	0
TMC6	1.35402785495213	0
TMC7	1.38746432424969	0
APIP	0.510693934884323	0
TMC1	2.7806717936716	0
TMC2	3.27933474127265	0
TMC3	3.52438909975252	0
SNURFL	4.09976507645838	0
EIF2B5	0.355844801013431	0
TMC8	2.5788367852966	0
EIF2B3	0.429255769137421	0
EIF2B1	0.188236000583691	0
PRKAR2A	0.498516806306098	0
PRKAR2B	0.995283626380499	0
MAGT1	0.458579094511558	0
TMEM200B	1.060145926185	0
MLF1	1.77965621607721	0
QPRT	1.33605109402319	0
IFT140	0.765899501378383	0
RSPH9	1.20315004393097	0
TMEM14C	0.45043695615578	0
TMEM14B	0.444146239566084	0
TMEM14A	0.910056278205498	0
CFLAR	0.917044414892861	0
MECOM	1.56113323497136	1
ITGA2B	2.87406774732953	0
RSPH1	2.28918756541891	0
FANCE	0.568086672341839	0
SOX6	1.58202369054032	1
LURAP1	0.916721763687309	0
KRTAP5-1	2.26056010365171	0
C9orf129	0.878765218839463	0
MYT1L	4.08537084271887	1
CLIC6	3.56976023018561	0
PHACTR4	0.324062498141807	0
CLIC4	1.023019625538	0
NOP2	0.544396143085871	0
NLGN2	1.07027765505844	0
NLGN3	2.71003552439149	0
PHACTR3	2.70005407583548	0
NLGN1	1.60210064031934	0
KRTAP2-3	3.43014013520576	0
KRTAP2-2	4.7667439217153	0
KRTAP2-1	3.36671282406078	0
STMN2	4.03034880213952	0
KRTAP2-4	4.05114702597455	0
TMEM147	0.737990565526911	0
ASGR1	5.66854346746055	0
ASGR2	6.36042599185415	0
TMEM144	2.58397730017464	0
TMEM143	0.803970999966151	0
ITGA6	1.67230153721902	0
TMEM141	0.892151520024829	0
TMEM140	1.07704331192137	0
BPNT1	0.638148648499551	0
API5	0.436983081817096	0
RTKN2	1.42513247880273	0
P2RX7	2.48677622043506	0
SOWAHA	2.25597528756004	0
SOWAHB	2.04211916579877	0
SOWAHC	1.03422212905918	0
SOWAHD	3.21424059926434	0
FANCI	0.995966098710743	0
HLA-DPA1	1.75286488385502	0
FAM32A	0.247093090556658	0
ABHD14A-ACY1	1.27262329220185	0
KIAA1191	0.364331898955261	0
FER1L6	3.19837387186546	0
VMP1	0.416219513036695	0
DRD2	3.53013143658976	0
CT55	1.69841911637072	0
ZMAT1	1.49492845973081	1
ZMAT3	1.13486816959612	0
ZMAT2	0.50442495004139	0
ZMAT5	0.454759489669615	0
ZMAT4	1.69238505062389	0
C19orf24	0.741411067638211	0
C19orf25	0.503918129576508	0
MYBL1	1.79334998068585	1
NR1D1	1.14642826271915	1
NR1D2	1.20220068460418	1
MYBL2	1.26739524377474	1
ITGB1BP1	0.674162514201017	0
ITGB1BP2	3.21542181514805	0
ZNF7	0.385816583595441	1
ZNF3	0.40687763218257	1
TIPIN	0.742264183870969	0
UFSP1	0.810271557846184	0
SMAD3	0.613897347443783	1
GCNA	1.03582347644082	0
C11orf16	3.84349614383393	0
ZAP70	2.75148405329721	0
TXNRD3NB	0.714171282886702	0
UFSP2	0.359204166704716	0
SYNDIG1	2.11961152773264	0
OGFR	0.740525283598162	0
CDC5L	0.476185360989391	1
NEMP1	0.822096452825285	0
RAC3	1.21107458045885	0
RAC1	0.433060810046311	0
SBDS	0.795807815980417	0
VCL	0.96638083499988	0
VCP	0.468316837856028	0
CPLX3	5.02697785416903	0
CPLX1	1.96452987364295	0
TUBB8P12	2.6446948227244	0
CPLX4	2.81528883089156	0
AP2A2	0.456031753403401	0
VCX	1.86234784523088	0
NIM1K	2.02761030204094	0
PBX4	1.78926662250804	1
FIGNL1	0.514565211577599	0
PBX2	0.60899960067766	1
PBX3	0.770918181702989	1
PBX1	0.847148272565375	1
AIRE	5.00785306026708	1
TMOD2	1.59903872729424	0
NSUN3	0.511488539385729	0
NSUN2	0.430331501002996	0
NSUN5	0.390051156103685	0
NSUN4	0.231790178484495	0
NSUN7	1.28819110313159	0
NSUN6	0.653181965117709	0
TUBG1	0.898654237078634	0
PRAMEF6	6.3482456271543	0
TUBG2	1.06892926630276	0
FAM71F1	2.48733084718498	0
PRAMEF1	5.08320048116105	0
PRAMEF2	4.79773049101069	0
FAM71F2	1.05329458969295	0
TARS	0.819843897190422	0
PTCH1	0.69277041685695	0
PRAMEF8	4.55311656105832	0
TIMM44	0.567542087462224	0
TUFM	0.470774200498472	0
KMT5B	0.428998670258539	0
RAD9B	1.63291428909776	0
RAD9A	0.559791506682511	0
KMT5A	0.419680976838247	0
ERGIC2	0.529486065296933	0
ERGIC3	0.455714105342615	0
CDR2L	0.763054971561174	0
ERGIC1	0.527506521575704	0
CEP78	0.798638988991372	0
CLEC14A	1.72949930424559	0
PDF	0.396202669646128	0
B3GAT3	0.666763177299005	0
B3GAT2	1.54535090499626	0
B3GAT1	2.24119469140647	0
CPPED1	0.859716098586951	0
UXT	0.500521221894291	0
CALM2	0.601416903821619	0
TTC30A	0.659054761257974	0
TTC30B	0.561433880346209	0
CALM1	0.599522500894823	0
GSDMA	3.16289291498649	0
GSDMB	1.32309139881813	0
GSDMC	3.30315525095381	0
GSDMD	1.79847154763576	0
FBXL13	1.12569821049239	0
UPK1B	3.11137496104148	0
DLGAP2	2.83331636739881	0
PLK1	1.26369682796014	0
DLGAP1	2.52024572787575	0
DLGAP4	0.710109331861137	0
DLGAP5	1.64236093001431	0
BRDT	2.08307488928755	0
HRH2	1.51241879955013	0
MBNL2	0.856167689649945	0
MBNL3	1.16204279685483	0
NPEPL1	0.772063070107914	0
FBXL14	0.701214112748536	0
PLK2	1.37192694180872	0
OIP5	1.28862441964835	0
CLCN3	0.54538199740772	0
CLCN2	0.865793660734593	0
CLCN1	4.07146772338856	0
FBXL16	2.61950908919312	0
CLCN7	1.60896847429358	0
CLCN6	0.46097127908941	0
CLCN5	1.37792242911408	0
CLCN4	1.74128613186733	0
HIST1H4H	2.29839674360658	0
FBXL19	0.696970033313586	0
BRD8	0.477053068131835	0
BRD9	0.473137670151664	0
KSR1	1.10720024663938	0
BRD4	0.477493052025138	0
BRD7	0.496603940905787	0
BRD1	0.53409066838493	0
BRD2	0.55717862124684	0
BRD3	0.719286010971685	0
DNAJA2	0.358536296279387	0
DNAJA3	0.464879087369604	0
DNAJA1	0.626426651803536	0
SPAG4	2.1443940416908	0
DNAJA4	1.64065854476701	0
LYRM2	0.468585909404956	0
PTPN13	1.25985756668274	0
PTPN12	0.558426272455286	0
PTPN11	0.565039949419301	0
CLMP	1.37939741932701	0
MYCBP	0.57525026272834	0
PTPN14	0.974337841680286	0
GALR3	2.39401769100265	0
GALR2	1.20901208361368	0
GALR1	2.93695153638283	0
UTRN	0.753962078018934	0
LYAR	1.02766465013597	0
ABHD16A	0.351020972075394	0
CH25H	2.15593884160784	0
C16orf74	2.11344237695605	0
CSF2RA	1.9122350772757	0
DMD	1.07069379232188	0
C16orf71	1.04919891747278	0
C16orf72	0.442182136636624	0
GAB4	2.00780842706646	0
FAAH2	1.3798305886916	0
C16orf78	4.26854542196526	0
OR4L1	NA	0
GAB1	0.859897376417158	0
HABP4	0.934170677902349	0
C2orf80	2.82592494476664	0
C2orf83	4.56467720097081	0
C2orf82	0.92093375884548	0
ZSCAN9	0.526963991057218	1
ZNF852	0.738821552989004	1
HABP2	5.10557121832539	0
NDRG1	1.5973472851273	0
NDRG2	2.23862585709205	0
NDRG3	0.388432589793164	0
ZSCAN1	2.05710876700058	1
ZSCAN2	0.720259051478836	1
SRSF5	0.75558303280334	0
SRSF4	0.322743840558231	0
SRSF7	0.595125214020124	0
SRSF6	0.567307786725718	0
SRSF1	0.430449116250545	0
CHD1L	0.598450704528363	0
SRSF3	0.466136238926244	0
MSMP	1.57895307219654	0
LOXL3	0.884346788567226	0
MZB1	3.92581355139171	0
SRSF9	0.390369947640944	0
CDK2	2.04306342582249	0
DNAJB13	2.85783603840965	0
RAPH1	0.631024639840416	0
VIL1	2.84815687757295	0
RNF133	1.53780797373261	0
HLA-DQB1	2.49067647892369	0
RNF135	0.652453530441321	0
DNAJB14	0.612697215744888	0
RNF138	0.988849698034707	1
RNF139	0.684545369420263	0
CDK5	0.781100091953825	0
GID4	0.760979684273052	0
CISD1	0.733663909075102	0
CLNS1A	0.410946170325897	0
SUPT20H	0.421912187950894	0
TSHZ2	1.49687128797058	1
TSHZ3	1.20844092912043	1
TSHZ1	0.89863895083938	1
GID8	0.376277828973607	0
CHML	1.05871764082467	0
FOXS1	1.7218301835957	1
VILL	1.49204110903341	0
ZNF581	0.493737480733447	1
ZNF580	0.941749632313344	1
ZNF583	0.616557558088929	1
ZNF582	0.491217332496575	1
TIPARP	1.30929193367242	0
ZNF584	0.571139751525527	1
ZNF587	0.528287986466387	1
ZNF586	0.782230523009219	1
ZNF589	1.11385785742024	1
THSD1	1.2757013259022	0
MCHR2	3.56277431985766	0
KRTAP24-1	4.38445627075051	0
HAPLN1	5.53175673579549	0
LSM12	0.583445750493889	0
PSD	2.6662154657417	0
CAMKK2	0.513076848901186	0
CAMKK1	0.949470631878706	0
MYDGF	0.67277429052095	0
NPTXR	1.79387012813853	0
OR8U1	6.78232998312527	0
HAPLN2	4.53184464691732	0
ANAPC16	0.824780549849881	0
MTRF1L	0.659792588343118	0
MYO1H	1.73295021826276	0
MYO1G	2.45674581586924	0
MYO1F	2.89632536069193	0
MYO1E	0.854108501214264	0
MYO1D	1.55606211181609	0
MYO1C	0.938271568473122	0
MYO1B	1.24117904157217	0
MYO1A	3.00486657201629	0
CHST1	1.93100367907625	0
CHMP3	0.695214882847074	0
TNFRSF13B	5.6870757844884	0
DENND6B	1.36281991858034	0
CHMP6	0.574543559685933	0
CHMP5	0.55005648327734	0
DENND6A	1.05659753866775	0
OR52N4	2.58987140056492	0
PGBD5	1.47324431908545	0
OR52N2	1.95760311742255	0
CTPS2	0.754842717151103	0
CTPS1	0.696120860785459	0
PGBD1	0.547455037410478	0
SGO2	1.40186752186428	0
SULT6B1	1.81320669524429	0
LY6G6C	2.11200724616621	0
HOXA13	3.49997535058508	1
LY6G6E	2.63184947785089	0
LY6G6F	1.58358374117988	0
HOXA10	2.36102778420684	1
KRTAP19-2	6.78232998312527	0
KRTAP19-3	6.73045041233046	0
KRTAP19-1	4.52532135050407	0
KRTAP19-6	6.78232998312527	0
PPIAL4D	1.52987026401492	0
KRTAP19-4	4.8947250518628	0
KRTAP19-5	6.62793989448475	0
FAM160B1	0.909577257620908	0
KRTAP19-8	3.45295654888682	0
HIST2H2AA3	1.81688118524509	0
ATAT1	2.30167247663056	0
GALNTL5	6.03742510633575	0
ZNF324	0.523503927850097	1
TSSK4	2.44015203254618	0
ZNF326	0.701721404283466	0
TSSK2	1.69935653969289	0
TSSK3	2.43387533913649	0
ZNF322	0.719601213874877	1
FAM214A	0.873862865784323	0
FAM214B	0.575925977826214	0
SRI	0.570416407215861	0
ZNF329	0.438247705523074	1
SRL	3.27607733392046	0
SRM	1.03610169917218	0
SRR	0.670882390330753	0
LGALS9	1.57533431879612	0
LGALS8	0.843437336189593	0
FAM220A	0.89159850074572	0
LGALS3	1.55866479068011	0
LGALS2	2.81449102714078	0
LGALS1	1.54017317552471	0
SRY	3.606707188649	1
LGALS7	4.58729260116513	0
CFAP36	0.611854713692511	0
LGALS4	3.46968395937213	0
NMU	1.85924865084427	0
RNF114	0.37349554649392	0
NMS	4.97205566680121	0
AKIRIN1	0.649813854463481	0
EIF2AK1	0.306895748622346	0
EIF2AK3	0.668851586807261	0
KRTAP11-1	3.82855485975682	0
TDG	0.653525534039951	0
EIF2AK4	0.607243563564162	0
HN1	0.880389724434753	0
NMB	0.581121300417299	0
EREG	4.10203531361409	0
AVPI1	1.23241192860678	0
MYO16	2.2078550187384	0
TRNT1	0.458912643629807	0
ASAP1	0.730593337786634	0
ASAP2	0.978946543741549	0
MYO10	0.906186369522628	0
OCRL	0.468345603792768	0
ATG101	0.615616270692952	0
PLAUR	1.86205981404028	0
DHRS4	0.762468179544211	0
KRT28	6.06003952876367	0
HILPDA	1.80611248879925	0
SLCO1B1	6.72988209844692	0
LRRC26	2.33883011855987	0
SLCO1B3	6.67253273438369	0
LRRC24	1.04765251533128	0
KIAA1522	0.933297596702538	0
SLCO1B7	6.66049592146309	0
LRRC20	1.11956380521994	0
FNDC3A	0.618413186669975	0
LOX	3.45785539991152	0
LPGAT1	1.55027955915167	0
DMRTC1B	1.67441920835475	0
LRRC29	0.880140354443596	0
LRRC28	0.447650187240891	0
TIMM17B	0.337123765100361	0
GCNT4	1.38233003207452	0
GCNT7	2.44002886049919	0
GCNT6	1.53599295189944	0
GCNT1	1.79129233145635	0
GCNT3	3.67964395471656	0
GCNT2	1.14461174484199	0
OR14I1	6.05791949700686	0
AACS	0.536516725769201	0
C14orf132	1.45668573781094	0
GSN-AS1	1.97304031575238	0
LPCAT4	0.590477453788444	0
LPCAT2	1.22436934469271	0
LPCAT3	0.517547381242457	0
LPCAT1	1.73971658073892	0
ALOX5	2.27722708149971	0
MID1IP1	0.594464683999435	0
PIGA	0.952845036408581	0
PIGB	0.631244526349152	0
PIGC	0.307007013765777	0
PIGF	0.469405880721655	0
CALCRL	1.22627528899459	0
PIGH	0.527561841575523	0
PIGK	0.445045976758834	0
PIGL	0.748659898804979	0
PIGM	0.550518845594524	0
PIGN	0.394502821180634	0
PIGO	0.46382856700914	0
PIGP	0.719626850498288	0
PIGQ	1.02926099970989	0
PIGR	4.25677346948989	0
C20orf187	3.7597650129089	0
PIGT	0.716377014062519	0
PIGU	0.549774282262378	0
PIGV	0.681970882630516	0
PIGX	0.463711644271476	0
PIGY	0.559293334801649	0
PIGZ	1.97242518070843	0
KRT25	4.33881144723664	0
TMEM80	0.50063446233019	0
TAGLN	2.62685056292756	0
TAX1BP1	0.467068601263656	0
CSNK1G2	0.461691411568878	0
TAX1BP3	0.887552698360075	0
ANKLE2	0.66895611627581	0
RHPN1	1.99676405565675	0
ELAC2	0.328641169665307	0
OLR1	2.75997170615716	0
RHPN2	0.980895074325855	0
CCDC170	2.16273467808792	0
BBIP1	0.746059753340202	0
CCDC172	3.17542143703721	0
SRRM2	0.699622202648445	0
SRRM5	0.633054589882456	0
SRRM4	3.56084715670932	0
FAM134B	1.78158017142727	0
PDK1	1.33816653057604	0
SUN2	1.0584476772621	0
PDK3	0.764784082769936	0
PDK2	0.922824606930976	0
EBP	0.859138794268442	0
PDK4	2.98398887438741	0
LNPEP	0.885981526434657	0
ALPI	3.23983659436592	0
ZNF292	0.863762737277255	1
SEC61A1	0.561039436720444	0
SEC61A2	0.590822542912605	0
ALPL	2.09691727100959	0
PTGS2	2.61949630864928	0
PECR	1.73082204061073	0
TM2D3	0.438412772501756	0
MGST3	0.839119329872471	0
OGFRL1	1.09345242345134	0
PUF60	0.419313271408471	0
ZFAND4	0.82731780234672	0
ZFAND3	0.319837518477171	0
ZFAND1	0.687297466329334	0
SUPT3H	0.6834424427387	0
PLVAP	1.75513845344867	0
SLC39A13	0.682567413044927	0
SLC39A10	1.55620308910217	0
SLC39A11	0.893483658713437	0
SLC39A14	1.19888778801173	0
SCN2B	3.20548447434023	0
LINC01098	3.87294125153221	0
MIR1-1HG	3.44653327185142	0
EIF1AY	0.984370703383292	0
NTRK2	2.62452201553381	0
CEP126	1.45346480189944	0
EIF1AD	0.46779233790825	0
ARHGAP22	2.69834298082095	0
ARHGAP21	1.00841478546518	0
ARHGAP20	2.36459930588096	0
